clase,fpr,tpr,threshold,auc
Satisfecho,0.008645336963921035,0.9080276448697502,0.66,0.9931723635263459
Satisfecho,0.009326072157930566,0.909799751905015,0.65,0.9931723635263459
Satisfecho,0.010211027910142955,0.9121034910508595,0.64,0.9931723635263459
Satisfecho,0.01123213070115725,0.9146730462519936,0.63,0.9931723635263459
Satisfecho,0.011640571817562968,0.9174198121566542,0.62,0.9931723635263459
Satisfecho,0.012729748127978216,0.9188374977848662,0.61,0.9931723635263459
Satisfecho,0.013546630360789652,0.9218500797448166,0.6,0.9931723635263459
Satisfecho,0.014499659632402996,0.9239766081871345,0.59,0.9931723635263459
Satisfecho,0.014976174268209666,0.9257487152223994,0.58,0.9931723635263459
Satisfecho,0.015520762423417291,0.9278752436647173,0.57,0.9931723635263459
Satisfecho,0.016678012253233492,0.929558745348219,0.56,0.9931723635263459
Satisfecho,0.017835262083049693,0.930976430976431,0.55,0.9931723635263459
Satisfecho,0.018788291354663037,0.9327485380116959,0.54,0.9931723635263459
Satisfecho,0.020558202859087816,0.9338118022328549,0.53,0.9931723635263459
Satisfecho,0.02157930565010211,0.9357611199716462,0.52,0.9931723635263459
Satisfecho,0.022736555479918312,0.9376218323586745,0.51,0.9931723635263459
Satisfecho,0.02450646698434309,0.9395711500974658,0.5,0.9931723635263459
Satisfecho,0.025255275697753574,0.9408116250221513,0.49,0.9931723635263459
Satisfecho,0.02648059904697073,0.9425837320574163,0.48,0.9931723635263459
Satisfecho,0.027978216473791694,0.9448874712032607,0.47,0.9931723635263459
Satisfecho,0.029271613342409804,0.9463051568314726,0.46,0.9931723635263459
Satisfecho,0.031109598366235534,0.9484316852737905,0.45,0.9931723635263459
Satisfecho,0.03281143635125936,0.9502923976608187,0.44,0.9931723635263459
Satisfecho,0.03505786249149081,0.9515328725855041,0.43,0.9931723635263459
Satisfecho,0.037440435670524165,0.9530391635654794,0.42,0.9931723635263459
Satisfecho,0.0394145677331518,0.9541910331384016,0.41,0.9931723635263459
Satisfecho,0.04132062627637849,0.955431508063087,0.4,0.9931723635263459
Satisfecho,0.04404356705241661,0.9567605883395357,0.39,0.9931723635263459
Satisfecho,0.047379169503063305,0.9577352472089314,0.38,0.9931723635263459
Satisfecho,0.05003403675970047,0.9592415381889066,0.37,0.9931723635263459
Satisfecho,0.052620830496936694,0.9610136452241715,0.36,0.9931723635263459
Satisfecho,0.0562287270251872,0.9626971469076733,0.35,0.9931723635263459
Satisfecho,0.05970047651463581,0.9648236753499911,0.34,0.9931723635263459
Satisfecho,0.062083049693669165,0.9657983342193869,0.33,0.9931723635263459
Satisfecho,0.06582709326072157,0.967304625199362,0.32,0.9931723635263459
Satisfecho,0.06991150442477877,0.9689881268828637,0.31,0.9931723635263459
Satisfecho,0.07345132743362832,0.9707602339181286,0.3,0.9931723635263459
Satisfecho,0.07699115044247788,0.9720893141945773,0.29,0.9931723635263459
Satisfecho,0.08162014976174269,0.9733297891192628,0.28,0.9931723635263459
Satisfecho,0.08543226684819605,0.9747474747474747,0.27,0.9931723635263459
Satisfecho,0.08965282505105514,0.9763423710792132,0.26,0.9931723635263459
Satisfecho,0.09394145677331518,0.9784688995215312,0.25,0.9931723635263459
Satisfecho,0.09918311776718856,0.9801524012050328,0.24,0.9931723635263459
Satisfecho,0.10476514635806672,0.982013113592061,0.23,0.9931723635263459
Satisfecho,0.10953029271613342,0.9828105617579301,0.22,0.9931723635263459
Satisfecho,0.11504424778761062,0.9840510366826156,0.21,0.9931723635263459
Satisfecho,0.1200136147038802,0.9850256955520114,0.2,0.9931723635263459
Satisfecho,0.1259360108917631,0.986709197235513,0.19,0.9931723635263459
Satisfecho,0.1337644656228727,0.9882154882154882,0.18,0.9931723635263459
Satisfecho,0.13968686181075562,0.9889243310295942,0.17,0.9931723635263459
Satisfecho,0.1469707283866576,0.9898103845472267,0.16,0.9931723635263459
Satisfecho,0.15425459496255955,0.9906078327130958,0.15,0.9931723635263459
Satisfecho,0.16378488767869298,0.9911394648236753,0.14,0.9931723635263459
Satisfecho,0.1730428863172226,0.9921141236930711,0.13,0.9931723635263459
Satisfecho,0.18352620830496938,0.9930001772107035,0.12,0.9931723635263459
Satisfecho,0.19469026548672566,0.9937090200248095,0.11,0.9931723635263459
Satisfecho,0.20918992511912865,0.9945950735424419,0.1,0.9931723635263459
Satisfecho,0.2249149081007488,0.9955697324118377,0.09,0.9931723635263459
Satisfecho,0.24186521443158612,0.9958355484671274,0.08,0.9931723635263459
Satisfecho,0.2642614023144997,0.9968102073365231,0.07,0.9931723635263459
Satisfecho,0.28747447243022467,0.9976076555023924,0.06,0.9931723635263459
Satisfecho,0.32219196732471067,0.998227892964735,0.05,0.9931723635263459
Satisfecho,0.3669843430905378,0.9986709197235513,0.04,0.9931723635263459
Satisfecho,0.4305650102110279,0.9991139464823675,0.03,0.9931723635263459
Satisfecho,0.5221919673247107,0.999291157185894,0.02,0.9931723635263459
Satisfecho,0.6816882232811436,0.9997341839447103,0.01,0.9931723635263459
Satisfecho,1.0,1.0,0.0,0.9931723635263459
