clase,precision,recall,threshold,average_precision
Insatisfecho,0.8472403302911777,0.9862147464272164,0.3,0.9834567096227447
Insatisfecho,0.8527929901423877,0.9846971038320476,0.31,0.9834567096227447
Insatisfecho,0.8584676529035107,0.9834324016694068,0.32,0.9834567096227447
Insatisfecho,0.864218141346689,0.9820412292905021,0.33,0.9834567096227447
Insatisfecho,0.8686155913978495,0.9807765271278613,0.34,0.9834567096227447
Insatisfecho,0.8724507042253521,0.9792588845326925,0.35,0.9834567096227447
Insatisfecho,0.8765600181529385,0.9771088908562033,0.36,0.9834567096227447
Insatisfecho,0.8808136213004228,0.9748324269634501,0.37,0.9834567096227447
Insatisfecho,0.8874149267504903,0.972935373719489,0.38,0.9834567096227447
Insatisfecho,0.8917663453721983,0.9711647906917921,0.39,0.9834567096227447
Insatisfecho,0.8956847152379839,0.9686353863665107,0.4,0.9834567096227447
Insatisfecho,0.8991992463495054,0.9657265713924371,0.41,0.9834567096227447
Insatisfecho,0.9023956356736242,0.9623118755533072,0.42,0.9834567096227447
Insatisfecho,0.9068100358422939,0.9599089414442898,0.43,0.9834567096227447
Insatisfecho,0.9097030179151137,0.9568736562539522,0.44,0.9834567096227447
Insatisfecho,0.9130750605326876,0.9538383710636145,0.45,0.9834567096227447
Insatisfecho,0.9169516365412799,0.9495383837106361,0.46,0.9834567096227447
Insatisfecho,0.9210332103321033,0.9470089793853548,0.47,0.9834567096227447
Insatisfecho,0.9240584737363726,0.9433413431136968,0.48,0.9834567096227447
Insatisfecho,0.9277424185698241,0.940179587707095,0.49,0.9834567096227447
Insatisfecho,0.9306743834927026,0.9355001897053244,0.5,0.9834567096227447
Insatisfecho,0.9336883479142893,0.9313266725686101,0.51,0.9834567096227447
Insatisfecho,0.9366377107818089,0.9272796256481599,0.52,0.9834567096227447
Insatisfecho,0.9400850405875532,0.9227266978626534,0.53,0.9834567096227447
Insatisfecho,0.942612308491301,0.9181737700771468,0.54,0.9834567096227447
Insatisfecho,0.9448726322664925,0.914759074238017,0.55,0.9834567096227447
Insatisfecho,0.9472160063182835,0.9100796762362464,0.56,0.9834567096227447
Insatisfecho,0.9499734607218684,0.9054002782344758,0.57,0.9834567096227447
Insatisfecho,0.9522599625568334,0.9005944100164411,0.58,0.9834567096227447
Insatisfecho,0.9541902452169226,0.8956620715821424,0.59,0.9834567096227447
Insatisfecho,0.9577273345113497,0.8911091437966359,0.6,0.9834567096227447
Insatisfecho,0.9604001096190737,0.8864297457948653,0.61,0.9834567096227447
Insatisfecho,0.9610980824941371,0.8811179967117744,0.62,0.9834567096227447
Insatisfecho,0.9633857719615759,0.8751738965473631,0.63,0.9834567096227447
Insatisfecho,0.9652173913043478,0.8703680283293285,0.64,0.9834567096227447
Insatisfecho,0.9670111850488461,0.8637915770835968,0.65,0.9834567096227447
Insatisfecho,0.9688259688259688,0.856835715189073,0.66,0.9834567096227447
Insatisfecho,0.9710899103787222,0.849626912862021,0.67,0.9834567096227447
Insatisfecho,0.9724168126094571,0.8426710509674972,0.68,0.9834567096227447
Insatisfecho,0.9740947895201648,0.836979891235614,0.69,0.9834567096227447
Insatisfecho,0.9753672651728743,0.8312887315037308,0.7,0.9834567096227447
Insatisfecho,0.9772318753744758,0.8250916909067915,0.71,0.9834567096227447
Insatisfecho,0.9793470007593015,0.8156064246869862,0.72,0.9834567096227447
Insatisfecho,0.9806332616046726,0.8068799797647654,0.73,0.9834567096227447
Insatisfecho,0.9812170133498913,0.7994182370051853,0.74,0.9834567096227447
Insatisfecho,0.9833149693058397,0.7900594410016442,0.75,0.9834567096227447
Insatisfecho,0.9844271412680756,0.7834829897559125,0.76,0.9834567096227447
